Pallet,Timestamp,Item,Manufacturer,Quantity,Expiration,Category,Notes,Pallet_Num,Box_Num
,4/7/2024 13:33,3ml Syringe ,BD,101,,Needles and Syringes,,3,9
,4/7/2024 13:22,Syringe,BD,62,5/31/2023,Needles and Syringes,,3,1
,4/7/2024 13:10,Sponges,Medline,18,,"Wound Care (dressings, sponges, gauze)",,3,4
,4/7/2024 13:19,Catheter,Mariner,10,9/30/2026,Surgical Tools,,3,B4
,4/7/2024 13:33,Peppermint Cream  to F,No manufacturer listed,10,,Other,,3,B9
,4/7/2024 12:59,Catheter,Self-Cath,9,,Tubing/Catheters,,3,4
,4/7/2024 12:48,Spectrum Central Venous Catheter Tray,Cook Med,9,1/12/2024,Tubing/Catheters,,3,2
,4/7/2024 13:02,Mouthpiece,Hudson RCI,8,6/11/2023,Other,,3,B4
,4/7/2024 13:00,Tubing Connector,Medichoice,7,12/30/2027,Tubing/Catheters,,3,4
,4/7/2024 13:21,Fixed Core Wire Guide,Cook Med,7,10/15/2024,Tubing/Catheters,,3,B8
,4/7/2024 12:59,Prep Pad,Smith and Nephew,5,5/1/2026,"Wound Care (dressings, sponges, gauze)",,3,4
,4/7/2024 12:53,Neurological tray,Phaser Kit,5,4/30/2025,Other,,3,Box 6
,4/7/2024 13:01,Pleural Drainage Starter Kit,Merit Medical,5,,Tubing/Catheters,,3,Box 7
,4/7/2024 12:47,Surgical masks,Precept,4,,PPE (Gloves/Masks),,3,5
,4/7/2024 12:56,Lavender smelling salts,No manufacturer listed,4,,Other,,3,B4
,4/7/2024 12:55,Pediatric Underbody,Gentherm Medical,4,,PPE (Gloves/Masks),,3,6
,4/7/2024 13:21,10 mL Syringe,BD,4,5/31/2023,Needles and Syringes,,3,1
,4/7/2024 13:09,Precision Glide Needle,BD,4,12/31/2028,Needles and Syringes,,3,4
,4/7/2024 13:07,Catheter device,Baxter,4,12/1/2024,Surgical Tools,,3,B4
,4/7/2024 13:13,Food Thickener,Simply thick,3,11/20/2024,Other,,3,4
,4/7/2024 13:29,Auto Effluent Accessory,PrisMax ,3,10/17/2026,"Diagnostic and Monitoring Equipment (BP cuffs, oximeters)",,3,9
,4/7/2024 13:22,Catheter,No manufacturer listed,3,3/22/2024,Other,,3,B8
,4/7/2024 12:51,Cohesive bandage,Coflex NL,3,,"Wound Care (dressings, sponges, gauze)",,3,5
,4/7/2024 13:03,Continous feed extension set,Avanos,3,5/23/2026,"Respiratory care (masks, nebulizer, cannula)",,3,4
,4/7/2024 13:01,Steri strip,3M,3,4/24/2024,Other,,3,B4
,4/7/2024 13:05,External urine management ,Stryker,2,,"Personal Hygiene and Care (including women’s health, and bedpans)",,3,4
,4/7/2024 12:57,Bubble Humidifier,Salter Labs,2,10/30/2028,Other,,3,6
,4/7/2024 13:28,Drainage system,No manufacturer listed,2,11/30/2024,Other,,3,B11
,4/7/2024 13:12,Cotton Tipped Applicators,Medline,2,,Other,,3,4
,4/7/2024 13:29,Elastic Bandage,Medline,2,,"Wound Care (dressings, sponges, gauze)",,3,9
,4/7/2024 12:58,Elastic net,Medline,2,1/4/2023,"Wound Care (dressings, sponges, gauze)",,3,B4
,4/7/2024 12:59,Gauze,Medichoice,2,7/14/2026,"Wound Care (dressings, sponges, gauze)",,3,B4
,4/7/2024 12:48,Catheter Tray,Cook Med,2,1/12/2024,Tubing/Catheters,,3,Box 3
,4/7/2024 13:09,Alcohol prep wipe,Cardinal Health,2,,Surgical Tools,,3,4
,4/7/2024 13:03,Y tubing Connector,Busse,2,4/30/2027,Tubing/Catheters,,3,4
,4/7/2024 13:11,Minicap,Baxter,2,1/31/2025,Other,,3,B4
,4/7/2024 12:52,Foley Tray System,Bard Medical,2,1/31/2026,Tubing/Catheters,,3,3
,4/7/2024 13:01,Urological Catheter,Bard Medical,2,3/31/2027,Tubing/Catheters,,3,4
,4/7/2024 13:06,Barrier film,3M,2,11/13/2026,Surgical Tools,,3,B4
,4/7/2024 13:12,Para pak,No manufacturer listed,2,5/21/2025,Other,,3,B4
,4/7/2024 13:14,Vacutainer,No manufacturer listed,2,11/30/2026,Other,,3,B4
