Manufacturer_Trimmed,item_display,Total_Quantity
zoll,"start up kit",1
"writesite plus","prep resistant skin marker",1
"wright and fillipis","large bag with a zipper",2
"womancare global","flexible karman cannula",9
"wipak medical","sealable bag",100
"wipak medical","sterilization pouches",101
"west med","small volume nebulizer",1
"welch allyn","pediatric ear tips",24
"welch allyn","pediatric single use specula",850
"welch allyn","probe well kit",1
"welch allyn","replacement lamp",1
"welch allyn","single use adult specula",850
"welch allyn",specula,15
webcol,"alcohol swaps",2
vygon,"exchange transfusion set",2
vygon,"transfusion catheter kit",1
vygon,tube,1
vygon,"umbilical catheter",1
vyaire,"disposable pad cover",3
vyaire,gloves,3
"vy con",connector,30
"vy con",tube,1
vonseql,"specimen bags",15
vixone,"small volume nebulizer",1
"vital care industries","sewn band bag",1
vioptix,"tissue oximeter",1
vermed,electrodes,1
verathon,glidescope,10
verathon,"gvl 1 stat",5
"vbm medizintechnik","tourniquet dispo cuff",10
vanishpoint,syringe,150
valeo,"balloon expandable biliary stent",2
vac,"silver dressing",2
urgotul,"contact layers",5
"urgo medical","contact layers",8
unknown,"24 hour urine containers",5
unknown,"3 ml pipet",33
unknown,"30 ml glass bottle",3
unknown,"accessory drain bag",1
unknown,"aed pads",1
unknown,"ambu bag",12
unknown,amplatzer,5
unknown,"anesthesia bags",4
unknown,"arm sling",3
unknown,"arm splint",2
unknown,"articulating loading unit",4
unknown,"assorted viles",400
unknown,bags,15
unknown,"bags with flexiband ties",10
unknown,"balloon bags",4
unknown,balloons,9
unknown,bamdages,38
unknown,bandaids,17
unknown,bedpans,5
unknown,"bio sample bags",4
unknown,"biohazard bag",100
unknown,"blood draw kits",172
unknown,"blood transfer device",1
unknown,"bloot collection set",38
unknown,"blue clips",2
unknown,"blue tourniquet bands",2
unknown,boxes,12
unknown,bras,17
unknown,"cardboard holders",6
unknown,"catheter tubing",1
unknown,catheters,29
unknown,censitrac,1
unknown,chux,10
unknown,"cleaning wands",5
unknown,"clear pouches",8
unknown,cloth,15
unknown,"compression sleeve",9
unknown,containers,20
unknown,cords,4
unknown,cream,10
unknown,"cup lids",100
unknown,cups,230
unknown,"cytology brush",1
unknown,diapers,17
unknown,"drainage system",2
unknown,"dura cuffs",2
unknown,"ekg electrodes",61
unknown,electrodes,10
unknown,"endovascular snare system",1
unknown,"equipment cover",13
unknown,"extension set",1
unknown,"face cover",1
unknown,"face shields",10
unknown,"filter funnel",1
unknown,"finger sock",5
unknown,"flexor check flo",1
unknown,"fluid solidified kit",5
unknown,foam,2
unknown,"foam inserts",14
unknown,"foot braces",1
unknown,funnel,5
unknown,gauze,74
unknown,glidescope,1
unknown,gown,21
unknown,guaze,100
unknown,"guide wire",3
unknown,"hair cover",16
unknown,"hard leg cast",3
unknown,headphones,1
unknown,hematology,15
unknown,"high speed rad 55 curved bur dental",2
unknown,"intubation equipment",1
unknown,jugs,17
unknown,lace,1
unknown,"lace up boots",5
unknown,"latex bands",2
unknown,"lavender smelling salts",4
unknown,"little plastic bottle with lid",10
unknown,"long tube",1
unknown,"luer lock connector",11
unknown,masks,60
unknown,"materials for ig collection",20
unknown,"medication transfer bag",1
unknown,"memory foam pads / splints",7
unknown,"metal pieces",8
unknown,"microscope slides",3
unknown,"microsope slides",7
unknown,microtainers,50
unknown,"mini pans",6
unknown,miscellaneous,70
unknown,mouthpiece,2
unknown,"nasal cannulas",1
unknown,nebulizer,1
unknown,needle,446
unknown,nylon,6
unknown,"oxygen tubing",1
unknown,pads,3
unknown,"para pak",2
unknown,percussor,1
unknown,"personal belonging bags",3
unknown,pillow,1
unknown,"pipe cleaner",60
unknown,pipettes,1831
unknown,"plain packing strip",2
unknown,"plain slides",10
unknown,"plastic (boot shaped)",29
unknown,"plastic bags",2
unknown,"plastic containers",1
unknown,"plastic pad large",3
unknown,"plating kits",50
unknown,"ppe apron",1
unknown,"pressure tubing",1
unknown,"probe cover",2
unknown,"purple caps",160
unknown,"reflex hammer",1
unknown,"residual leg limb sock for prosthetic",1
unknown,"sample collection kit",4
unknown,"sealable bag",41
unknown,"secure view port",1
unknown,"serum collector (black circle cap)",450
unknown,"serum d pl(ctdna) kit",30
unknown,"silk adhesive with holes",5
unknown,"soap dishes",25
unknown,"sole inserts",3
unknown,"specimen bags",817
unknown,"spider fx",1
unknown,sponges,5
unknown,"spray bottle caps",4
unknown,"spray bottle top",2
unknown,"stapler cannula seal",7
unknown,"stax finger splint",2
unknown,steri-strips,2
unknown,"sterile pipers",90
unknown,"sterilization tool",2
unknown,stethoscope,1
unknown,"sticker tags",1
unknown,stickers,3
unknown,"sticky name tags",3
unknown,"stool collection kit",3
unknown,"subassembly bag g",45
unknown,"subassembly g",4
